p1,p2,response
-16.427172,48.420876,Oxidoreductases
-18.452198,5.787157,Oxidoreductases
-13.744725,6.0466785,Oxidoreductases
-11.54199,3.526837,Oxidoreductases
-35.73788,1.9037191,Oxidoreductases
17.870386,39.85582,Oxidoreductases
8.553837,5.382131,Oxidoreductases
7.739556,-61.600033,Oxidoreductases
-14.288961,-73.68541,Oxidoreductases
-2.8484406,-29.428576,Oxidoreductases
0.95775855,13.275096,Oxidoreductases
27.121931,46.263298,Oxidoreductases
-48.228065,-15.684328,Oxidoreductases
-41.804005,33.151497,Oxidoreductases
39.174385,24.513468,Oxidoreductases
-24.137749,57.377056,Oxidoreductases
-45.18174,43.322147,Oxidoreductases
-10.26376,26.793346,Oxidoreductases
-24.714996,23.71464,Oxidoreductases
-32.945198,6.0538955,Oxidoreductases
61.99985,2.4275904,Oxidoreductases
-65.639885,0.22697143,Oxidoreductases
-7.309696,7.192635,Oxidoreductases
12.4623995,-88.34316,Oxidoreductases
12.462353,-88.34319,Oxidoreductases
11.69506,110.60823,Oxidoreductases
8.567694,-16.064827,Oxidoreductases
-7.236081,7.8109403,Oxidoreductases
-4.85722,29.3693,Oxidoreductases
-13.37866,75.24507,Oxidoreductases
5.6547737,79.150826,Oxidoreductases
24.174055,66.121956,Oxidoreductases
49.25352,30.961271,Oxidoreductases
15.514469,-21.534985,Oxidoreductases
16.073566,-27.933681,Oxidoreductases
-16.85646,-13.159566,Oxidoreductases
19.087416,-46.288956,Oxidoreductases
65.72406,-62.349277,Oxidoreductases
65.67241,-62.346954,Oxidoreductases
25.306566,29.980843,Oxidoreductases
65.74363,-62.35287,Oxidoreductases
42.02061,-14.85544,Oxidoreductases
78.92176,-13.665786,Oxidoreductases
15.493165,-41.874523,Oxidoreductases
11.940233,-40.26433,Oxidoreductases
78.153915,-12.959936,Oxidoreductases
-53.02179,-52.501564,Oxidoreductases
-25.329788,-54.114044,Oxidoreductases
13.880547,-11.387919,Oxidoreductases
17.13346,-20.786638,Oxidoreductases
9.171193,-49.12407,Oxidoreductases
78.15938,-12.987659,Oxidoreductases
67.703896,-46.859,Oxidoreductases
11.769108,-40.392708,Oxidoreductases
11.954753,-27.250984,Oxidoreductases
-31.652851,28.666016,Oxidoreductases
-0.9507404,-28.542654,Oxidoreductases
15.110259,38.83077,Oxidoreductases
-13.729874,19.98337,Oxidoreductases
-67.75446,-31.034645,Oxidoreductases
-10.488341,-3.2032497,Oxidoreductases
-12.741186,-25.010378,Oxidoreductases
-18.962667,12.504513,Oxidoreductases
-29.789867,-5.7715216,Oxidoreductases
-16.119013,7.57364,Oxidoreductases
19.693182,-8.48028,Oxidoreductases
20.139965,22.001917,Oxidoreductases
58.666157,-23.112885,Oxidoreductases
-12.56863,12.777391,Oxidoreductases
23.023867,-75.70686,Oxidoreductases
-3.1591628,49.289875,Oxidoreductases
-71.17876,-8.471565,Oxidoreductases
