p1,p2,response
-744.4337658660885,-207.04807757048786,Oxidoreductases
-816.3315466150547,-920.2409180066102,Oxidoreductases
-131.98335919785347,-986.0218856436595,Oxidoreductases
-755.4353753903855,-1001.9221575289614,Oxidoreductases
-93.07861759518933,280.0831455958917,Oxidoreductases
-550.3843870365386,76.74851516001247,Oxidoreductases
-648.2760090977466,-547.4189659756572,Oxidoreductases
-765.926150599544,-1129.0617637454634,Oxidoreductases
41.35188856789557,-566.2659712148247,Oxidoreductases
-302.4920841893577,-1172.7818319464532,Oxidoreductases
-947.990274463294,1520.5847770112093,Oxidoreductases
-907.9313587191552,-1094.2364375851937,Oxidoreductases
-477.5788338002234,-965.0854782141438,Oxidoreductases
-2255.7999638861743,1071.6261786035989,Oxidoreductases
-924.4230992026975,333.3052488740705,Oxidoreductases
1331.767918804152,-689.2074539603213,Oxidoreductases
462.15861616489747,782.4133940759117,Oxidoreductases
-593.6531526849335,-938.9283477096257,Oxidoreductases
23.202995738431547,997.6168984772089,Oxidoreductases
-758.3690397230437,-1195.6616555594335,Oxidoreductases
-732.8479480363253,-686.5141163934388,Oxidoreductases
-956.7338284229473,-469.3323048957902,Oxidoreductases
-689.5612722412111,-509.9634126838619,Oxidoreductases
-1285.7668008853643,-219.16988165971057,Oxidoreductases
-582.02758853437,785.1512026836917,Oxidoreductases
-645.9901290079235,-172.81069171663873,Oxidoreductases
-686.416496140659,-818.4787914615174,Oxidoreductases
-704.4666648868606,-870.6204625781389,Oxidoreductases
-1903.378538826643,619.4978582895434,Oxidoreductases
-9.508941034789272,1028.0424153010201,Oxidoreductases
-459.0491182993463,-410.01864155624423,Oxidoreductases
839.9752929500573,-674.8689523141179,Oxidoreductases
871.618901891975,-1463.5755908375888,Oxidoreductases
1132.97958110077,-20.617587833269177,Oxidoreductases
-2086.76322527691,-655.2013127828997,Oxidoreductases
-1787.3782004123127,382.9764896766978,Oxidoreductases
-1301.3972413806855,-828.4928003099456,Oxidoreductases
-2778.533625763772,950.0697107325647,Oxidoreductases
-392.54226643916815,1182.9723457216705,Oxidoreductases
-1026.9007996181497,870.7841307986906,Oxidoreductases
-1089.0748892324666,-432.0880735890532,Oxidoreductases
-825.1855139699882,7.976782812259014,Oxidoreductases
-1656.3687700829996,-812.1511319558895,Oxidoreductases
-1986.730222194626,1226.7045630380387,Oxidoreductases
-1762.2299848349912,2195.5744551375155,Oxidoreductases
-2678.6171406611893,-378.56068918163555,Oxidoreductases
-1802.246312133712,1458.7022056063163,Oxidoreductases
-1835.9848030980665,863.7580454732133,Oxidoreductases
-1475.073558178864,2804.7434661196844,Oxidoreductases
-1208.79089050248,-370.96753659864356,Oxidoreductases
-1846.801247105779,-197.87981197612837,Oxidoreductases
-1796.6463448211857,-212.4690793829873,Oxidoreductases
-985.4017163956238,712.0856985408211,Oxidoreductases
-563.3271949883936,1690.4795846575048,Oxidoreductases
-2479.7345948124544,-421.348267324489,Oxidoreductases
-2158.7737400513233,-645.2796004417835,Oxidoreductases
-1363.1157728615617,-784.8335248714254,Oxidoreductases
-1969.6084833512878,20.004156482394617,Oxidoreductases
-1022.3499682766953,-655.3642518535191,Oxidoreductases
-1248.4457701346528,1717.4031772963176,Oxidoreductases
-2788.594098143862,-104.51526315430557,Oxidoreductases
-1882.93424925891,-887.4263310438198,Oxidoreductases
-1897.9075739325908,-803.1073265181832,Oxidoreductases
-1717.7050748807196,-755.5940755136545,Oxidoreductases
-1694.7232912053387,-2.83151946537233,Oxidoreductases
-2693.0641802464556,-576.8705406346685,Oxidoreductases
979.0614325743322,1636.4965285599064,Oxidoreductases
66.93160109185244,971.0382543328105,Oxidoreductases
327.73775008064285,681.3291047088048,Oxidoreductases
530.3830588290996,379.02159574085954,Oxidoreductases
787.4651967851315,-881.3739742960997,Oxidoreductases
664.7648582756065,1705.900742368681,Oxidoreductases
501.1226377731464,1666.3604376592737,Oxidoreductases
832.6138290160626,-282.9741725618032,Oxidoreductases
271.407565957626,97.31987953824986,Oxidoreductases
715.9774790630541,598.224400357947,Oxidoreductases
339.45807647486214,-326.1133771169454,Oxidoreductases
1228.9683541581949,415.0945631588463,Oxidoreductases
79.41008960923907,752.5770337994147,Oxidoreductases
-160.624347977715,356.5234372107076,Oxidoreductases
185.73780744879508,236.25242996147585,Oxidoreductases
1084.4986447654433,-1280.4618643628519,Oxidoreductases
692.0441873826002,-670.3386274797351,Oxidoreductases
1287.4311524396626,1038.664684874557,Oxidoreductases
316.73119446048224,-765.0378801846539,Oxidoreductases
1372.467448100037,48.242445603988976,Oxidoreductases
277.37395473246056,-463.7474564770001,Oxidoreductases
846.1281033999037,-529.8492384854429,Oxidoreductases
647.8739041584892,-1405.8209884256273,Oxidoreductases
-494.1478411844943,150.36697819872208,Oxidoreductases
-1191.633555435849,-1164.9196606015655,Oxidoreductases
-1127.405637923286,-177.5138999531952,Oxidoreductases
-975.7353550060943,-501.0116237908574,Oxidoreductases
-679.0661836178801,-646.4077912531901,Oxidoreductases
-305.6300349383401,-488.6741001178287,Oxidoreductases
-1834.0650277474358,123.66033126712496,Oxidoreductases
-1032.4448969079763,861.3096004587425,Oxidoreductases
150.7845061834588,-1013.4666986605391,Oxidoreductases
-193.77170388874504,688.538493433737,Oxidoreductases
-1240.6907342571028,-397.41554287037434,Oxidoreductases
-553.4970638127605,754.1598950197108,Oxidoreductases
-862.5179012715969,1671.8603420995855,Oxidoreductases
-231.0544217271711,28.630560997942943,Oxidoreductases
-149.5398251567583,1874.2645699280333,Oxidoreductases
-832.3931413743,-326.9427736572195,Oxidoreductases
-673.3290639406788,-861.4239392589589,Oxidoreductases
-722.1910549599143,1003.3466217739744,Oxidoreductases
-964.3417893534231,224.14202825378914,Oxidoreductases
-1134.7802199939651,-496.2731665836097,Oxidoreductases
-616.9464555103224,688.2817108229366,Oxidoreductases
-63.60549781308438,949.8347218828311,Oxidoreductases
-1584.9072645254762,-379.62108830855317,Oxidoreductases
134.64763225690484,212.92968843881374,Oxidoreductases
-715.9585135946294,-327.012179791095,Oxidoreductases
-430.8587727965018,598.6388375910935,Oxidoreductases
-1420.0568772804502,-151.07868558082615,Oxidoreductases
-557.7889085070356,367.31848038700633,Oxidoreductases
-840.6099959081051,-719.176192199873,Oxidoreductases
-1989.7755173592507,382.32879901928726,Oxidoreductases
-2819.9309321972783,-545.3707554197872,Oxidoreductases
-1792.408259538827,241.22526912463636,Oxidoreductases
-1227.4464344461153,125.06594222903087,Oxidoreductases
-1179.1081979272303,1338.488576169609,Oxidoreductases
-1527.7704273972577,-122.2992982695421,Oxidoreductases
-1261.421096269777,-536.7518142107806,Oxidoreductases
-2548.034228455545,-359.7595566390533,Oxidoreductases
-1845.6628375876332,121.14945455270713,Oxidoreductases
-1996.8123663217775,1401.0207255383928,Oxidoreductases
